Name,Bat Speed,HH%,GB%,GB SQ%,FB%,FB SQ%
League Average,67.61371487765902,0.41023376081073487,0.3801122630070104,0.6336748706031478,0.6198877369929896,0.7003264502422468
Michael Conforto,71.99163879598662,0.4414715719063545,0.3745819397993311,0.5535714285714286,0.6254180602006689,0.6577540106951871
Enrique Hernandez,67.95384615384616,0.378698224852071,0.3609467455621302,0.6885245901639344,0.6390532544378699,0.7037037037037037
Jon Berti,65.67402597402598,0.37662337662337664,0.5194805194805194,0.625,0.4805194805194805,0.6216216216216216
Miguel Amaya,70.89736842105263,0.32894736842105265,0.27631578947368424,0.5238095238095238,0.7236842105263158,0.6
Pete Crow-Armstrong,69.27516629711751,0.4190687361419069,0.29490022172949004,0.5789473684210527,0.70509977827051,0.6886792452830188
Will Smith,65.3136690647482,0.4712230215827338,0.2697841726618705,0.7066666666666667,0.7302158273381295,0.7684729064039408
Teoscar Hernandez,68.38272251308902,0.4607329842931937,0.4083769633507853,0.6217948717948718,0.5916230366492147,0.6858407079646017
Tommy Edman,66.89792387543253,0.4013840830449827,0.40484429065743943,0.6752136752136753,0.5951557093425606,0.6569767441860465
Michael Busch,64.07279792746114,0.4740932642487047,0.2979274611398964,0.6695652173913044,0.7020725388601037,0.8745387453874539
Shohei Ohtani,73.02276995305164,0.5868544600938967,0.352112676056338,0.5733333333333334,0.647887323943662,0.8007246376811594
Kyle Tucker,70.92355769230768,0.40384615384615385,0.3173076923076923,0.5909090909090909,0.6826923076923077,0.7323943661971831
Miguel Rojas,60.320408163265306,0.3142857142857143,0.4122448979591837,0.7425742574257426,0.5877551020408164,0.7361111111111112
Seiya Suzuki,71.75397590361446,0.4867469879518072,0.27951807228915665,0.6379310344827587,0.7204819277108434,0.6755852842809364
Ian Happ,68.06572104018912,0.4444444444444444,0.3380614657210402,0.5804195804195804,0.6619385342789598,0.7214285714285714
Dansby Swanson,68.47564402810305,0.477751756440281,0.3583138173302108,0.5882352941176471,0.6416861826697893,0.7956204379562044
Matt Shaw,65.42093023255815,0.292358803986711,0.37209302325581395,0.5625,0.627906976744186,0.6402116402116402
Justin Turner,59.538970588235294,0.3088235294117647,0.3235294117647059,0.7954545454545454,0.6764705882352942,0.7934782608695652
Max Muncy,63.98382978723404,0.5148936170212766,0.26382978723404255,0.5483870967741935,0.7361702127659574,0.8092485549132948
Carson Kelly,66.57508532423208,0.40273037542662116,0.310580204778157,0.6813186813186813,0.689419795221843,0.7029702970297029
Andy Pages,70.97066666666666,0.37333333333333335,0.3022222222222222,0.5735294117647058,0.6977777777777778,0.643312101910828
James Wood,73.42228116710875,0.5676392572944297,0.46153846153846156,0.6379310344827587,0.5384615384615384,0.7438423645320197
Jorge Polanco,66.42619647355164,0.45843828715365237,0.3526448362720403,0.6642857142857143,0.6473551637279596,0.7470817120622568
Colt Keith,68.44746835443038,0.43670886075949367,0.3227848101265823,0.5882352941176471,0.6772151898734177,0.7523364485981309
Bryan Reynolds,69.55528846153847,0.46153846153846156,0.4326923076923077,0.6,0.5673076923076923,0.8050847457627118
Luke Raley,68.79918699186992,0.42276422764227645,0.4878048780487805,0.55,0.5121951219512195,0.7142857142857143
Bryson Stott,66.11400966183574,0.2946859903381642,0.35990338164251207,0.6711409395973155,0.6400966183574879,0.6754716981132075
Wyatt Langford,71.77609329446064,0.4839650145772595,0.34402332361516036,0.6610169491525424,0.6559766763848397,0.7466666666666667
Nolan Arenado,70.22804532577904,0.3286118980169972,0.31728045325779036,0.6428571428571429,0.6827195467422096,0.5850622406639004
Tyrone Taylor,66.53541666666666,0.35,0.2875,0.7971014492753623,0.7125,0.5497076023391813
Austin Slater,68.9978947368421,0.49473684210526314,0.43157894736842106,0.6341463414634146,0.5684210526315789,0.8333333333333334
Tyler O'Neill,71.41127819548873,0.39097744360902253,0.2631578947368421,0.4,0.7368421052631579,0.673469387755102
Corey Seager,68.08949152542374,0.535593220338983,0.4,0.5847457627118644,0.6,0.807909604519774
Andrew Vaughn,68.29099099099099,0.4774774774774775,0.3633633633633634,0.7024793388429752,0.6366366366366366,0.7688679245283019
Christian Walker,71.78082524271845,0.46116504854368934,0.33980582524271846,0.6285714285714286,0.6601941747572816,0.6470588235294118
